date,Gustavo Bolívar,Claudia López,Vicky Dávila
2023-12-31,21,36,15
2024-01-07,20,12,12
2024-01-14,17,8,15
2024-01-21,17,14,11
2024-01-28,14,10,16
2024-02-04,23,9,18
2024-02-11,22,12,17
2024-02-18,13,13,12
2024-02-25,45,8,26
2024-03-03,66,9,12
2024-03-10,37,8,17
2024-03-17,19,11,21
2024-03-24,26,8,15
2024-03-31,22,8,21
2024-04-07,37,8,14
2024-04-14,24,9,17
2024-04-21,43,10,18
2024-04-28,36,11,18
2024-05-05,47,38,23
2024-05-12,15,9,16
2024-05-19,23,7,18
2024-05-26,31,6,24
2024-06-02,55,10,27
2024-06-09,20,0,23
2024-06-16,14,0,16
2024-06-23,12,15,18
2024-06-30,11,0,15
2024-07-07,18,8,20
2024-07-14,17,0,17
2024-07-21,26,19,18
2024-07-28,38,12,21
2024-08-04,20,0,31
2024-08-11,20,8,29
2024-08-18,19,0,19
2024-08-25,11,0,30
2024-09-01,52,0,31
2024-09-08,23,10,29
2024-09-15,39,0,22
2024-09-22,21,0,18
2024-09-29,23,0,12
2024-10-06,15,7,20
2024-10-13,20,0,15
2024-10-20,9,0,30
2024-10-27,11,0,60
2024-11-03,28,0,26
2024-11-10,22,10,100
2024-11-17,20,0,62
2024-11-24,19,11,43
2024-12-01,12,0,17
2024-12-08,25,0,28
2024-12-15,21,0,10
2024-12-22,20,0,16
2024-12-29,25,0,29
2025-01-05,15,0,21
2025-01-12,21,0,21
2025-01-19,18,11,13
2025-01-26,36,0,35
2025-02-02,59,8,84
2025-02-09,28,8,41
2025-02-16,31,12,36
2025-02-23,28,11,44
2025-03-02,25,10,22
2025-03-09,15,15,25
2025-03-16,15,8,26
2025-03-23,26,12,32
2025-03-30,29,9,30
2025-04-06,20,9,20
2025-04-13,66,0,18
2025-04-20,26,0,34
2025-04-27,47,9,44
2025-05-04,26,7,33
2025-05-11,43,0,26
2025-05-18,30,0,23
2025-05-25,20,11,28
2025-06-01,9,24,28
2025-06-08,26,14,85
2025-06-15,17,14,39
2025-06-22,17,11,21
2025-06-29,13,0,48
2025-07-06,30,8,26
2025-07-13,26,16,24
2025-07-20,20,11,16
2025-07-27,12,14,21
2025-08-03,17,8,77
2025-08-10,30,21,60
2025-08-17,31,13,36
2025-08-24,15,10,29
